Date,Open,High,Low,Close,Adj Close,Volume
13/11/2014,111.800003,113.449997,111.599998,112.82,105.218483,59522900
14/11/2014,113.150002,114.190002,111.209999,114.18,106.486847,44063600
17/11/2014,114.269997,117.279999,113.300003,113.989998,106.309639,46746700
18/11/2014,113.940002,115.690002,113.889999,115.470001,107.689934,44224000
19/11/2014,115.440002,115.739998,113.800003,114.669998,106.94381,41869200
20/11/2014,114.910004,116.860001,114.849998,116.309998,108.473335,43395500
21/11/2014,117.510002,117.57,116.029999,116.470001,108.622566,57179300
24/11/2014,116.849998,118.769997,116.620003,118.629997,110.637016,47450800
25/11/2014,119.07,119.75,117.449997,117.599998,109.676414,68840400
26/11/2014,117.940002,119.099998,117.830002,119,110.982094,40768300
28/11/2014,119.269997,119.400002,118.050003,118.93,110.916801,24814400
01/12/2014,118.809998,119.25,111.269997,115.07,107.316879,83814000
02/12/2014,113.5,115.75,112.75,114.629997,106.906525,59348900
03/12/2014,115.75,116.349998,115.110001,115.93,108.11895,43063400
04/12/2014,115.769997,117.199997,115.290001,115.489998,107.708588,42044500
05/12/2014,115.989998,116.080002,114.639999,115,107.251595,38318900
08/12/2014,114.099998,114.650002,111.620003,112.400002,104.82679,57664900
09/12/2014,110.190002,114.300003,109.349998,114.120003,106.430916,60208000
10/12/2014,114.410004,114.849998,111.540001,111.949997,104.407104,44565300
11/12/2014,112.260002,113.800003,111.339996,111.620003,104.099335,41401700
12/12/2014,110.459999,111.870003,109.580002,109.730003,102.336685,56028100
15/12/2014,110.699997,111.599998,106.349998,108.230003,100.937744,67218100
16/12/2014,106.370003,110.160004,106.260002,106.75,99.557449,60790700
17/12/2014,107.120003,109.839996,106.82,109.410004,102.038231,53411800
18/12/2014,111.870003,112.650002,110.660004,112.650002,105.059921,59006200
19/12/2014,112.260002,113.239998,111.660004,111.779999,104.248543,88429800
22/12/2014,112.160004,113.489998,111.970001,112.940002,105.330399,45167500
23/12/2014,113.230003,113.330002,112.459999,112.540001,104.957352,26028400
24/12/2014,112.580002,112.709999,112.010002,112.010002,104.463051,14479600
26/12/2014,112.099998,114.519997,112.010002,113.989998,106.309639,33721000
29/12/2014,113.790001,114.769997,113.699997,113.910004,106.235031,27598900
30/12/2014,113.639999,113.919998,112.110001,112.519997,104.93869,29881500
31/12/2014,112.82,113.129997,110.209999,110.379997,102.942894,41403400
02/01/2015,111.389999,111.440002,107.349998,109.330002,101.963631,53204600
05/01/2015,108.290001,108.650002,105.410004,106.25,99.091148,64285500
06/01/2015,106.540001,107.43,104.629997,106.260002,99.100471,65797100
07/01/2015,107.199997,108.199997,106.699997,107.75,100.490089,40105900
08/01/2015,109.230003,112.150002,108.699997,111.889999,104.351151,59364500
09/01/2015,112.669998,113.25,110.209999,112.010002,104.463051,53699500
12/01/2015,112.599998,112.629997,108.800003,109.25,101.889015,49650800
13/01/2015,111.43,112.800003,108.910004,110.220001,102.793655,67091900
14/01/2015,109.040001,110.489998,108.5,109.800003,102.401962,48337000
15/01/2015,110,110.059998,106.660004,106.82,99.622726,60014000
16/01/2015,107.029999,107.580002,105.199997,105.989998,98.848663,78513300
20/01/2015,107.839996,108.970001,106.5,108.720001,101.39473,49899900
21/01/2015,108.949997,111.059998,108.269997,109.550003,102.168816,48575900
